deporte_id,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,ano_min,ano_max,genero
5,LUNES,06:30:00,07:40:00,20,4,activo,60,Económico,adulto +18,,1900,2008,Femenino
5,LUNES,07:45:00,09:00:00,20,4,activo,60,Económico,adulto +18,,1900,2008,Femenino
1,LUNES,08:10:00,09:20:00,20,1,activo,60,Económico,2011-2012,,2011,2012,Mixto
1,LUNES,08:10:00,09:20:00,20,2,activo,60,Económico,2014-2013,,2013,2014,Mixto
2,LUNES,09:20:00,10:30:00,20,4,activo,60,Económico,2010-2015,,2010,2015,Femenino
1,LUNES,10:30:00,11:40:00,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
1,LUNES,10:30:00,11:40:00,20,1,activo,60,Económico,2009-2010,,2009,2010,Mixto
1,LUNES,11:40:00,12:50:00,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
5,MIERCOLES,06:30:00,07:40:00,20,2,activo,60,Económico,adulto +18,,1900,2008,Femenino
5,MIERCOLES,07:45:00,09:00:00,20,1,activo,60,Económico,adulto +18,,1900,2008,Femenino
1,MIERCOLES,08:10:00,09:20:00,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
1,MIERCOLES,08:10:00,09:20:00,20,2,activo,60,Económico,2014-2013,,2013,2014,Mixto
2,MIERCOLES,09:20:00,10:30:00,20,4,activo,60,Económico,2010-2015,,2010,2015,Femenino
1,MIERCOLES,10:30:00,11:40:00,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
1,MIERCOLES,10:30:00,11:40:00,20,2,activo,60,Económico,2009-2010,,2009,2010,Mixto
1,MIERCOLES,11:40:00,12:50:00,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
3,LUNES,08:30:00,09:40:00,20,3,activo,60,Económico,2009-2008,,2008,2009,Mixto
3,LUNES,08:30:00,09:40:00,20,1,activo,60,Económico,2010,,2010,2010,Mixto
3,LUNES,09:40:00,10:50:00,20,0,activo,60,Económico,2011,,2011,2011,Mixto
3,LUNES,09:40:00,10:50:00,20,1,activo,60,Económico,2012-2013,,2012,2013,Mixto
3,LUNES,10:50:00,12:00:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
3,LUNES,10:50:00,12:00:00,20,1,activo,60,Económico,2015-2016,,2015,2016,Mixto
3,MIERCOLES,08:30:00,09:40:00,20,1,activo,60,Económico,2009-2008,,2008,2009,Mixto
3,MIERCOLES,08:30:00,09:40:00,20,0,activo,60,Económico,2010,,2010,2010,Mixto
3,MIERCOLES,09:40:00,10:50:00,20,1,activo,60,Económico,2011,,2011,2011,Mixto
3,MIERCOLES,09:40:00,10:50:00,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
3,MIERCOLES,10:50:00,12:00:00,20,1,activo,60,Económico,2014,,2014,2014,Mixto
3,MIERCOLES,10:50:00,12:00:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
5,VIERNES,06:30:00,07:40:00,20,0,activo,60,Económico,adulto +18,,1900,2008,Femenino
5,VIERNES,07:45:00,09:00:00,20,1,activo,60,Económico,adulto +18,,1900,2008,Femenino
3,VIERNES,08:30:00,09:40:00,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
3,VIERNES,08:30:00,09:40:00,20,0,activo,60,Económico,2010,,2010,2010,Mixto
3,VIERNES,09:40:00,10:50:00,20,0,activo,60,Económico,2011,,2011,2011,Mixto
3,VIERNES,09:40:00,10:50:00,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
3,VIERNES,10:50:00,12:00:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
3,VIERNES,10:50:00,12:00:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
1,VIERNES,08:10:00,09:20:00,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
1,VIERNES,08:10:00,09:20:00,20,0,activo,60,Económico,2014-2013,,2013,2014,Mixto
2,VIERNES,09:20:00,10:30:00,20,0,activo,60,Económico,2010-2015,,2010,2015,Femenino
1,VIERNES,10:30:00,11:40:00,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
1,VIERNES,10:30:00,11:40:00,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
1,VIERNES,11:40:00,12:50:00,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
4,MARTES,08:30:00,09:40:00,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
4,MARTES,08:30:00,09:40:00,20,1,activo,60,Económico,2010,,2010,2010,Mixto
4,MARTES,09:40:00,10:50:00,20,0,activo,60,Económico,2011,,2011,2011,Mixto
4,MARTES,09:40:00,10:50:00,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
4,MARTES,10:50:00,12:00:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
4,MARTES,10:50:00,12:00:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
4,JUEVES,08:30:00,09:40:00,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
4,JUEVES,08:30:00,09:40:00,20,1,activo,60,Económico,2010,,2010,2010,Mixto
4,JUEVES,09:40:00,10:50:00,20,0,activo,60,Económico,2011,,2011,2011,Mixto
4,JUEVES,09:40:00,10:50:00,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
4,JUEVES,10:50:00,12:00:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
4,JUEVES,10:50:00,12:00:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
10,SABADO,15:30:00,16:30:00,20,1,activo,200,Premium,2009-2010,PC,2009,2010,Mixto
10,SABADO,15:30:00,16:30:00,20,0,activo,200,Premium,2011-2012,PC,2011,2012,Mixto
10,SABADO,16:30:00,17:30:00,20,2,activo,200,Premium,2012-2013,PC,2012,2013,Mixto
10,SABADO,16:30:00,17:30:00,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
10,SABADO,17:30:00,18:30:00,20,0,activo,200,Premium,2015-2016,PC,2015,2016,Mixto
10,SABADO,17:30:00,18:30:00,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
1,LUNES,15:30:00,16:55:00,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
1,LUNES,15:30:00,16:55:00,20,0,activo,120,Estándar,2019-2020,I,2019,2020,Mixto
1,LUNES,17:00:00,18:25:00,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
1,LUNES,17:00:00,18:25:00,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
1,LUNES,17:00:00,18:25:00,20,0,activo,120,Estándar,2014,I,2014,2014,Mixto
1,LUNES,17:00:00,18:25:00,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
1,LUNES,18:30:00,19:55:00,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
1,LUNES,18:30:00,19:55:00,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
1,LUNES,18:30:00,19:55:00,20,0,activo,200,Premium,2013-2014-2015,PC,2013,2015,Mixto
1,MIERCOLES,15:30:00,16:55:00,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
1,MIERCOLES,15:30:00,16:55:00,20,1,activo,120,Estándar,2019,I,2019,2019,Mixto
1,MIERCOLES,17:00:00,18:25:00,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
1,MIERCOLES,17:00:00,18:25:00,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
1,MIERCOLES,17:00:00,18:25:00,20,1,activo,120,Estándar,2014,I,2014,2014,Mixto
1,MIERCOLES,17:00:00,18:25:00,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
1,MIERCOLES,18:30:00,19:55:00,20,1,activo,200,Premium,2014,PC,2014,2014,Mixto
1,MIERCOLES,18:30:00,19:55:00,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
1,MIERCOLES,18:30:00,19:55:00,20,0,activo,200,Premium,2013-2014-2015,PREMIUM,2013,2015,Mixto
1,VIERNES,17:00:00,18:25:00,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
1,VIERNES,17:00:00,18:25:00,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
1,VIERNES,17:00:00,18:25:00,20,0,activo,120,Estándar,2014,I,2014,2014,Mixto
1,VIERNES,17:00:00,18:25:00,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
1,VIERNES,18:30:00,19:55:00,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
1,VIERNES,18:30:00,19:55:00,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
1,VIERNES,18:30:00,19:55:00,20,2,activo,200,Premium,2013-2014-2015,PREMIUM,2013,2015,Mixto
1,MARTES,15:30:00,16:50:00,20,0,activo,120,Estándar,2018-2019,NF,2018,2019,Mixto
1,MARTES,15:30:00,16:50:00,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
1,MARTES,15:30:00,16:50:00,20,1,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
1,MARTES,17:00:00,18:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
1,MARTES,17:00:00,18:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
1,MARTES,17:00:00,18:20:00,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
